"id","sp","rep","ind","twig","chill","time","treatcode","position","row","col"
"BETALL16_HF_04","BETALL","16","BETALL16","04","chill2","time2","2_2",1,1,1
"FAGGRA09_HF_11","FAGGRA","09","FAGGRA09","11","chill2","time3","2_3",1,1,1
"HAMVIRX2_HF_09","HAMVIR","X2","HAMVIRX2","09","chill2","time2","2_2",1,1,1
"BETALLX1_HF_10","BETALL","X1","BETALLX1","10","chill2","time2","2_2",2,2,1
"ACESAC99_HF_09","ACESAC","99","ACESAC99","09","chill2","time3","2_3",2,2,1
"HAMVIRX1_HF_05","HAMVIR","X1","HAMVIRX1","05","chill2","time3","2_3",2,2,1
"QUERUBX2_HF_03","QUERUB","X2","QUERUBX2","03","chill2","time1","2_1",3,3,1
"BETALL20_HF_08","BETALL","20","BETALL20","08","chill2","time3","2_3",3,3,1
"FAGGRA13_HF_03","FAGGRA","13","FAGGRA13","03","chill2","time1","2_1",3,3,1
"ACESAC05_HF_02","ACESAC","05","ACESAC05","02","chill2","time2","2_2",4,4,1
"BETALL22_HF_05","BETALL","22","BETALL22","05","chill2","time2","2_2",4,4,1
"HAMVIRX3_HF_03","HAMVIR","X3","HAMVIRX3","03","chill2","time1","2_1",4,4,1
"BETALL16_HF_06","BETALL","16","BETALL16","06","chill2","time3","2_3",5,5,1
"ILEMUCX1_HF_10","ILEMUC","X1","ILEMUCX1","10","chill2","time1","2_1",5,5,1
"ILEMUCX4_HF_02","ILEMUC","X4","ILEMUCX4","02","chill2","time2","2_2",5,5,1
"ACESAC09_HF_07","ACESAC","09","ACESAC09","07","chill2","time2","2_2",6,6,1
"VIBCASX5_HF_02","VIBCAS","X5","VIBCASX5","02","chill2","time2","2_2",6,6,1
"FAGGRAX1_HF_04","FAGGRA","X1","FAGGRAX1","04","chill2","time2","2_2",6,6,1
"ILEMUCX3_HF_07","ILEMUC","X3","ILEMUCX3","07","chill2","time3","2_3",7,7,1
"VIBCAS08_HF_04","VIBCAS","08","VIBCAS08","04","chill2","time3","2_3",7,7,1
"HAMVIRX7_HF_03","HAMVIR","X7","HAMVIRX7","03","chill2","time2","2_2",7,7,1
"ILEMUC08_HF_04","ILEMUC","08","ILEMUC08","04","chill2","time3","2_3",8,8,1
"QUERUBX5_HF_12","QUERUB","X5","QUERUBX5","12","chill2","time3","2_3",8,8,1
"ACESAC07_HF_06","ACESAC","07","ACESAC07","06","chill2","time3","2_3",8,8,1
"FAGGRA09_HF_05","FAGGRA","09","FAGGRA09","05","chill2","time1","2_1",9,1,2
"HAMVIRX2_HF_07","HAMVIR","X2","HAMVIRX2","07","chill2","time3","2_3",9,1,2
"QUERUBX3_HF_01","QUERUB","X3","QUERUBX3","01","chill2","time1","2_1",9,1,2
"VIBCAS01_HF_06","VIBCAS","01","VIBCAS01","06","chill2","time3","2_3",10,2,2
"HAMVIRX8_HF_02","HAMVIR","X8","HAMVIRX8","02","chill2","time3","2_3",10,2,2
"BETALL18_HF_02","BETALL","18","BETALL18","02","chill2","time2","2_2",10,2,2
"ACESACX2_HF_06","ACESAC","X2","ACESACX2","06","chill2","time3","2_3",11,3,2
"VIBCASX5_HF_07","VIBCAS","X5","VIBCASX5","07","chill2","time3","2_3",11,3,2
"BETALLX3_HF_03","BETALL","X3","BETALLX3","03","chill2","time3","2_3",11,3,2
"ACESAC09_HF_09","ACESAC","09","ACESAC09","09","chill2","time3","2_3",12,4,2
"ILEMUCX2_HF_04","ILEMUC","X2","ILEMUCX2","04","chill2","time3","2_3",12,4,2
"VIBCAS02_HF_11","VIBCAS","02","VIBCAS02","11","chill2","time3","2_3",12,4,2
"QUERUB23_HF_07","QUERUB","23","QUERUB23","07","chill2","time2","2_2",13,5,2
"HAMVIRX8_HF_07","HAMVIR","X8","HAMVIRX8","07","chill2","time1","2_1",13,5,2
"BETALLX1_HF_11","BETALL","X1","BETALLX1","11","chill2","time1","2_1",13,5,2
"QUERUBX4_HF_07","QUERUB","X4","QUERUBX4","07","chill2","time2","2_2",14,6,2
"BETALLX3_HF_09","BETALL","X3","BETALLX3","09","chill2","time1","2_1",14,6,2
"FAGGRAX1_HF_11","FAGGRA","X1","FAGGRAX1","11","chill2","time3","2_3",14,6,2
"ACESACX2_HF_09","ACESAC","X2","ACESACX2","09","chill2","time2","2_2",15,7,2
"QUERUB21_HF_10","QUERUB","21","QUERUB21","10","chill2","time1","2_1",15,7,2
"VIBCAS01_HF_01","VIBCAS","01","VIBCAS01","01","chill2","time1","2_1",15,7,2
"ILEMUCX1_HF_04","ILEMUC","X1","ILEMUCX1","04","chill2","time3","2_3",16,8,2
"VIBCAS08_HF_09","VIBCAS","08","VIBCAS08","09","chill2","time2","2_2",16,8,2
"FAGGRA02_HF_05","FAGGRA","02","FAGGRA02","05","chill2","time2","2_2",16,8,2
"ILEMUC08_HF_02","ILEMUC","08","ILEMUC08","02","chill2","time2","2_2",17,1,3
"BETALLX3_HF_01","BETALL","X3","BETALLX3","01","chill2","time2","2_2",17,1,3
"FAGGRA13_HF_11","FAGGRA","13","FAGGRA13","11","chill2","time2","2_2",17,1,3
"FAGGRAX2_HF_12","FAGGRA","X2","FAGGRAX2","12","chill2","time2","2_2",18,2,3
"BETALL19_HF_07","BETALL","19","BETALL19","07","chill2","time3","2_3",18,2,3
"HAMVIRX3_HF_01","HAMVIR","X3","HAMVIRX3","01","chill2","time3","2_3",18,2,3
"ACESACX3_HF_02","ACESAC","X3","ACESACX3","02","chill2","time2","2_2",19,3,3
"QUERUB22_HF_01","QUERUB","22","QUERUB22","01","chill2","time1","2_1",19,3,3
