"Order","id","sp","rep","ind","twig","Row","Col","Treat","Final.lab","chill","time","Term.fl","Lat.fl","Term.lf","Lat.lf","Comments","Observer","day1","day2","day3","day","tleaf","lleaf","chillport","lday","fday","bday","nl"
1,"ACESAC99_HF_01","ACESAC","99","ACESAC99",1,2,1,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC99_HF_02","ACESAC","99","ACESAC99",2,5,5,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,NA,NA,NA,0
3,"ACESAC99_HF_03","ACESAC","99","ACESAC99",3,1,8,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,NA,NA,NA,0
1,"ACESAC99_HF_04","ACESAC","99","ACESAC99",4,8,5,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,NA,NA,70,0
1,"ACESAC99_HF_05","ACESAC","99","ACESAC99",5,7,9,"8_2",NA,"chill8","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,53.4607334489438,NA,NA,NA,0
1,"ACESAC99_HF_06","ACESAC","99","ACESAC99",6,4,6,"2_1",NA,"chill2","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC99_HF_07","ACESAC","99","ACESAC99",7,2,4,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,78,0
3,"ACESAC99_HF_08","ACESAC","99","ACESAC99",8,2,7,"4_1",NA,"chill4","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,78,0
1,"ACESAC99_HF_09","ACESAC","99","ACESAC99",9,4,10,"2_3",7,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,NA,NA,61,0
1,"ACESAC99_HF_10","ACESAC","99","ACESAC99",10,3,9,"8_3",NA,"chill8","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,66.678368297455,NA,NA,NA,0
1,"ACESAC99_HF_11","ACESAC","99","ACESAC99",11,3,7,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,NA,0
1,"ACESAC99_HF_12","ACESAC","99","ACESAC99",12,2,2,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,NA,NA,NA,0
3,"ACESACX1_HF_01","ACESAC","X1","ACESACX1",1,5,7,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,63,NA,55,1
2,"ACESACX1_HF_02","ACESAC","X1","ACESACX1",2,3,4,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,54,NA,47,1
2,"ACESACX1_HF_03","ACESAC","X1","ACESACX1",3,1,4,"4_3",NA,"chill4","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,63.0118829365783,NA,NA,NA,0
1,"ACESACX1_HF_04","ACESAC","X1","ACESACX1",4,2,7,"1_3",NA,"chill1","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,51.7673318647914,54,NA,47,1
1,"ACESACX1_HF_05","ACESAC","X1","ACESACX1",5,3,5,"2_3",NA,"chill2","time3",NA,NA,"0","0","","DF",36,21,5,5,0,0,60.2845385132397,54,NA,47,1
1,"ACESACX1_HF_06","ACESAC","X1","ACESACX1",6,5,2,"4_2",NA,"chill4","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,51.3734415685938,55,NA,49,1
1,"ACESACX1_HF_07","ACESAC","X1","ACESACX1",7,2,5,"1_1",NA,"chill1","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,78,NA,64,1
1,"ACESACX1_HF_08","ACESAC","X1","ACESACX1",8,4,2,"8_1",NA,"chill8","time1",NA,NA,"0","0","","TS",13,-2,-18,13,0,0,40.243854,NA,NA,64,0
1,"ACESACX1_HF_09","ACESAC","X1","ACESACX1",9,7,5,"2_2",NA,"chill2","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,49.8365118379173,63,NA,49,1
1,"ACESACX1_HF_10","ACESAC","X1","ACESACX1",10,5,9,"1_2",NA,"chill1","time2",NA,NA,"0","0","","DF",25,10,-6,10,0,0,45.4964798983769,63,NA,49,1
